,Ticker,Name
0,BTC,Bitcoin
1,ETH,Ethereum
2,USDT,Tether
3,BNB,BNB
4,USDC,USD Coin
5,XRP,XRP
6,ADA,Cardano
7,BUSD,Binance USD
8,MATIC,Polygon
9,DOGE,Dogecoin
10,SOL,Solana
11,DOT,Polkadot
12,SHIB,Shiba Inu
13,LTC,Litecoin
14,TRX,TRON
15,AVAX,Avalanche
16,UNI,Uniswap
17,DAI,Dai
18,WBTC,Wrapped Bitcoin
19,ATOM,Cosmos
20,LINK,Chainlink
21,LEO,UNUS SED LEO
22,ETC,Ethereum Classic
23,XMR,Monero
24,OKB,OKB
25,TON,Toncoin
26,APT,Aptos
27,BCH,Bitcoin Cash
28,HBAR,Hedera
29,XLM,Stellar
30,LDO,Lido DAO
31,NEAR,NEAR Protocol
32,FIL,Filecoin
33,APE,ApeCoin
34,CRO,Cronos
35,ALGO,Algorand
36,VET,VeChain
37,QNT,Quant
38,ICP,Internet Computer
39,FTM,Fantom
40,GRT,The Graph
41,MANA,Decentraland
42,AAVE,Aave
43,BIT,BitDAO
44,AXS,Axie Infinity
45,FLOW,Flow
46,EOS,EOS
47,SAND,The Sandbox
48,EGLD,MultiversX
49,THETA,Theta Network
50,XTZ,Tezos
51,LUNC,Terra Classic
52,MINA,Mina
53,CHZ,Chiliz
54,IMX,ImmutableX
55,TUSD,TrueUSD
56,RPL,Rocket Pool
57,USDP,Pax Dollar
58,HT,Huobi Token
59,KCS,KuCoin Token
60,DASH,Dash
61,FXS,Frax Share
62,CRV,Curve DAO Token
63,BSV,Bitcoin SV
64,ZEC,Zcash
65,MKR,Maker
66,USDD,USDD
67,BTT,BitTorrent-New
68,CAKE,PancakeSwap
69,XEC,eCash
70,MIOTA,IOTA
71,GMX,GMX
72,OP,Optimism
73,SNX,Synthetix
74,NEO,Neo
75,KLAY,Klaytn
76,LRC,Loopring
77,TWT,Trust Wallet Token
78,GUSD,Gemini Dollar
79,RUNE,THORChain
80,AGIX,SingularityNET
81,OSMO,Osmosis
82,RNDR,Render Token
83,ZIL,Zilliqa
84,PAXG,PAX Gold
85,GT,GateToken
86,BNX,BinaryX
87,ENJ,Enjin Coin
88,DYDX,dYdX
89,CVX,Convex Finance
90,ROSE,Oasis Network
91,STX,Stacks
92,BAT,Basic Attention Token
93,1INCH,1inch Network
94,ETHW,EthereumPoW
